id,text,scenario,confidence,source_film,start_timestamp,end_timestamp,context_before,context_after,catalan_markers
Vicky Cristina Barcelona_2008_4061345_31,Ha pasado un tiempo. Me alegro de verte.,farewells,0.6867559623718262,Vicky Cristina Barcelona,"00:03:04,748","00:03:07,476","¿Eres Vicky? Sí, Vicky. | Has crecido mucho.","Bienvenidas a Barcelona. Cristina, soy Judy. | Esta es su habitación.",
Vicky Cristina Barcelona_2008_4061345_41,"Tenemos una casa hermosa. Sí, nos encanta.",family,0.8,Vicky Cristina Barcelona,"00:03:35,781","00:03:38,139","Después de deshacer la maleta y de que el marido de Judy, Mark, | volviera del campo de golf, se sirvió la comida en la terraza.","Él hace amigos fácilmente y habla el idioma, así que está contento. | Tú lo estás aprendiendo.",
Vicky Cristina Barcelona_2008_4061345_122,Por el fin de semana. Nos vamos en una hora.,plans,0.6834284973144532,Vicky Cristina Barcelona,"00:08:56,570","00:08:58,711",¿Ir adónde? | A Oviedo.,¿Dónde está Oviedo? | Es un vuelo muy corto. ¿En avión?,
Vicky Cristina Barcelona_2008_4061345_129,"No, pasaremos allí el fin de semana. Yo les mostraré la ciudad.",plans,0.7009804916381837,Vicky Cristina Barcelona,"00:09:17,189","00:09:21,855",Una escultura muy hermosa. Les encantará. | ¿Nos estás pidiendo que volemos a Oviedo y volvamos?,"Comeremos bien, beberemos buen vino, haremos el amor. | Exactamente, ¿quién hará el amor?",
Vicky Cristina Barcelona_2008_4061345_133,Dios mío. Yo me encargo de su cuenta.,farewells,0.6361202430725098,Vicky Cristina Barcelona,"00:09:32,019","00:09:33,665","Exactamente, ¿quién hará el amor? | Con suerte, los tres.","Este tipo no se va por las ramas. | Mire, señor, tal vez en otra vida.",
Vicky Cristina Barcelona_2008_4061345_150,hasta que el último gramo de encanto.,farewells,0.6293764305114746,Vicky Cristina Barcelona,"00:10:21,634","00:10:23,900",con el primero que nos invite a ver los encantadores pueblos españoles. | ¿Siempre analiza cada inspiración.,desaparece? | Creo que tengo que decir.,
Vicky Cristina Barcelona_2008_4061345_152,Creo que tengo que decir.,opinions,0.9629276180267333,Vicky Cristina Barcelona,"00:10:30,340","00:10:32,389",hasta que el último gramo de encanto. | desaparece?,"que mis ojos son verdes, en realidad. | Yo no diría que nuestra aversión",
Vicky Cristina Barcelona_2008_4061345_156,Si te gustaría acompañarnos para,farewells,0.7072144699096681,Vicky Cristina Barcelona,"00:10:45,994","00:10:48,351",Yo no diría que nuestra aversión | a sucumbir a tu oferta sexual sea sobreanalítica.,"una reconocida forma de interacción social, como una copa, estaríamos bien, | pero de otra manera, creo que deberías intentar ofrécelo a otra mesa.",
Vicky Cristina Barcelona_2008_4061345_158,"pero de otra manera, creo que deberías intentar ofrécelo a otra mesa.",opinions,0.7853993558883666,Vicky Cristina Barcelona,"00:10:53,114","00:10:57,381","Si te gustaría acompañarnos para | una reconocida forma de interacción social, como una copa, estaríamos bien,",¿Qué parte de la oferta te ofendió? | Claro que no fue la parte donde las encuentro hermosas y deseables.,
Vicky Cristina Barcelona_2008_4061345_161,¿Ofenderme? No.,apologies,0.6234161567687989,Vicky Cristina Barcelona,"00:11:05,463","00:11:06,752",¿Qué parte de la oferta te ofendió? | Claro que no fue la parte donde las encuentro hermosas y deseables.,"Es muy halagador, atormentador, para ser honesta, pero. | ¿Es mi imaginación o es un poco tarde?",
